toponym,offset
"Grand Central
Station",0
Newport,1
Tuxedo,2
Bellomont,3
Rhinebeck,4
Bellomont,5
New York,6
Madison Avenue,7
New York,8
New York,9
Turkey,10
India,11
Richfield Springs,12
Fifth Avenue,13
London,14
Bellomont,15
Madison Avenue,16
Rosedale,17
Rosedale,18
Bellomont,19
Rosedale,20
Rosedale,21
Bellomont,22
Yonkers,23
Bellomont,24
Gryce,25
Albany,26
Madison Avenue,27
New York,28
Albany,29
New York,30
Madison Avenue,31
Broad Street,32
"Mount
Kisco",33
Bellomont,34
Europe,35
Newport,36
Southampton,37
Europe,38
New York,39
Paris,40
Apennines,41
Vatican,42
New York,43
Providence,44
New York,45
New Jersey,46
Bellomont,47
Pragg,48
India,49
Beltshire,50
America,51
Bertha,52
Bellomont,53
Bellomont,54
Bellomont,55
Bellomont,56
Bellomont,57
America,58
Dorset,59
ROSEDALE,60
Rosedale,61
New York,62
Bellomont,63
Bellomont,64
Bellomont,65
Bellomont,66
Bellomont,67
Peekskill,68
Providence,69
Prince Varigliano,70
Dorset,71
Richfield,72
Bellomont,73
Rosedale,74
Bellomont,75
Richfield,76
Rosedale,77
Hudson,78
ROSEDALE,79
Bellomont,80
Bellomont,81
Rosedale,82
Bellomont,83
Bellomont,84
Rosedale,85
Rosedale,86
Rosedale,87
Rosedale,88
Rosedale,89
Rosedale,90
Rosedale,91
Rosedale,92
Rosedale,93
Bellomont,94
Rosedale,95
Fifth Avenue,96
New York,97
Bellomont,98
Niagara,99
Miss,100
Miss.,101
Miss,102
Dorset,103
MILAN,104
Paris,105
Neuilly,106
Silverton,107
Bellomont,108
Bellomont,109
Adirondacks,110
Rosedale,111
Wall Street,112
Rosedale,113
Rosedale,114
Rosedale,115
Rosedale,116
Rosedale,117
Bellomont,118
Mall,119
Dorset,120
Bellomont,121
Dorset,122
Bellomont,123
Wall Street,124
Rosedale,125
Rosedale,126
Fifth Avenue,127
New York,128
Fifth Avenue,129
Dorset,130
Dorset,131
Dorset,132
Rosedale,133
Bellomont,134
Bellomont,135
Miss Bart,136
Bellomont,137
Wellington Brys,138
Bellomont,139
Brooklyn,140
Selden,141
Caliban,142
Albany,143
Bellomont,144
Bellomont,145
Fifth Avenue,146
Bellomont,147
Rosedale,148
Rosedale,149
Fifth Avenue,150
Albany,151
Bellomont,152
Bellomont,153
Bellomont,154
Rosedale,155
Rosedale,156
Bellomont,157
Fifth Avenue,158
Rosedale,159
Wellington,160
Europe,161
America,162
Bellomont,163
Fifth Avenue,164
Fifth Avenue,165
Aix,166
Bellomont,167
Rosedale,168
Rosedale,169
Rosedale,170
Rosedale,171
Rosedale,172
Havana,173
West Indies,174
Rosedale,175
Selden,176
Havana,177
Mediterranean,178
Monte Carlo,179
New York,180
Paris,181
Beltshire,182
Europe,183
Paris,184
Quai Voltaire,185
Monte Carlo,186
Monaco,187
Sicily,188
Dorset,189
Cannes,190
Macedonia,191
Cimiez,192
Sicily,193
Mediterranean,194
Riviera,195
Monte Carlo,196
Beltshire,197
New York,198
Riviera,199
London,200
London,201
Beltshire,202
Aix,203
Cannes,204
Beltshire,205
Dorset,206
Silverton,207
Promenade des Anglais,208
Riviera,209
Mediterranean,210
Sicily,211
Dorset,212
LONDON,213
New York,214
New York,215
New York,216
Rosedale,217
Atlantic,218
Cannes,219
Dorset,220
Beltshire,221
Dorset,222
Paris,223
Riviera,224
Cimiez,225
Nice,226
Hotel de Paris,227
Dorset,228
Dorset,229
Dorset,230
Dorset,231
Beltshire,232
Dorset,233
Dorset,234
Dorset,235
Dorset,236
Dorset,237
Dorset,238
Dorset,239
Monte Carlo,240
Dorset,241
Dorset,242
Dorset,243
Dorset,244
Dorset,245
Dorset,246
Dorset,247
Dorset,248
Dorset,249
Monte Carlo,250
Sabrina,251
Dorset,252
Becassin,253
Dorset,254
Dorset,255
Dorset,256
Paris,257
England,258
Dorset,259
Niagara,260
Europe,261
America,262
New Amsterdam,263
Newport,264
Long Island,265
Beltshire,266
London,267
London,268
America,269
Dorset,270
Rosedale,271
Rosedale,272
LA MELBA,273
Bellomont,274
Fifth Avenue,275
Roslyn,276
Coney Island,277
Newport,278
Bar Harbour,279
Alaska,280
Newport,281
Alaska,282
Alaska,283
Lake George,284
New York,285
Alaska,286
Newport,287
Long Island,288
Europe,289
Rosedale,290
Rosedale,291
Rosedale,292
Rosedale,293
Long Island,294
Dorset,295
Dorset,296
Dorset,297
Dorset,298
Rosedale,299
Rosedale,300
Rosedale,301
Rosedale,302
Dorset,303
Europe,304
Rosedale,305
Rosedale,306
Rosedale,307
Long Island,308
Rosedale,309
Bellomont,310
Rosedale,311
Rosedale,312
Rosedale,313
Rosedale,314
Rosedale,315
Rosedale,316
Rosedale,317
Rosedale,318
Rosedale,319
Dorset,320
Rosedale,321
Rosedale,322
Rosedale,323
Fifth Avenue,324
Rosedale,325
Rosedale,326
Rosedale,327
Fifth Avenue,328
Europe,329
Europe,330
Monte Carlo,331
England,332
Alaska,333
"New
York",334
Bellomont,335
Rosedale,336
Europe,337
"Arion
Ball",338
New York,339
Rosedale,340
Rosedale,341
Rosedale,342
Rosedale,343
Rosedale,344
Rosedale,345
Rosedale,346
Rosedale,347
Rosedale,348
Rosedale,349
Rosedale,350
Rosedale,351
Rosedale,352
Rosedale,353
Rosedale,354
Rosedale,355
Rosedale,356
Rosedale,357
Bertha Dorset,358
Rosedale,359
Fifth Avenue,360
Europe,361
South,362
Rosedale,363
Europe,364
Paris,365
London,366
Rosedale,367
Rosedale,368
Rosedale,369
Fifth Avenue,370
Fifth Avenue,371
Madison Avenue,372
Bellomont,373
Fifth Avenue,374
Bryant Park,375
Garden,376
London,377
Bellomont,378
United States,379
United States,380
United States,381
United States,382
United States,383
United States,384
"United
States",385
United States,386
Mississippi,387
U.S.,388
"Melan Dr. S.
Fairbanks",389
Salt Lake City,390
UT,391
"United
States",392
United States,393
U.S.,394
U.S.,395
